INDIR,FOLDER,IN FILE,DURATION,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,LATITUDE,LONGITUDE,MODEL,SERIAL NO,FIRMWARE,PREFIX,NOTES,AUTO ID,PULSES,MATCHING,MATCH RATIO,MARGIN,FILES,MANUAL ID,ORGID,USERID,REVIEW ORGID,REVIEW USERID,INPATHMD5
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_214319.wav,3.077,2024-06-16,21:43:19,21,2024-06-16,09:43:19,9,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,UermKLn0FmNZTnxtiWF5xw==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_214334.wav,3.061,2024-06-16,21:43:34,21,2024-06-16,09:43:34,9,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,EVmzLBMBJhLHiSIv57yNPA==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_214350.wav,3.064,2024-06-16,21:43:50,21,2024-06-16,09:43:50,9,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,E/+6BAbEsgvst/khr4igCw==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_214419.wav,3.059,2024-06-16,21:44:19,21,2024-06-16,09:44:19,9,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,GeGIW9YHmRHhjg4xw0fgRw==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_214229.wav,9.65,2024-06-16,21:42:29,21,2024-06-16,09:42:29,9,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,Sf102TEV02ilP6ZrIvoWPg==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_214446.wav,3.074,2024-06-16,21:44:46,21,2024-06-16,09:44:46,9,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,itGAEVUnnGvTpDVQoCaTKg==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_214501.wav,3.079,2024-06-16,21:45:01,21,2024-06-16,09:45:01,9,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,NzSI25lUazAM5KFitWDh4g==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_214547.wav,3.059,2024-06-16,21:45:47,21,2024-06-16,09:45:47,9,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,DrvRD/t3KzEhbrpGYskcgA==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_214520.wav,3.069,2024-06-16,21:45:20,21,2024-06-16,09:45:20,9,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,Vu4yQBBdP2Y2wp/yWpaWxw==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_214611.wav,3.064,2024-06-16,21:46:11,21,2024-06-16,09:46:11,9,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,O0HhBLW7++1os4YKbfuZ6Q==
