"INDIR","OUTDIR","FOLDER","IN FILE","CHANNEL","OFFSET","DURATION","OUT FILE FS","OUT FILE ZC","DATE","TIME","HOUR","DATE-12","TIME-12","HOUR-12","AUTO ID","PULSES","MATCHING","MATCH RATIO","MARGIN","ALTERNATE 1","ALTERNATE 2","N","Fc","Sc","Dur","Fmax","Fmin","Fmean","TBC","Fk","Tk","S1","Tc","Qual","FILES","MANUAL ID*","ORGID","USERID","REVIEW ORGID","REVIEW USERID","INPATHMD5","OUTPATHMD5FS","OUTPATHMD5ZC"
"/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3","/Volumes/Elements/Output CP/Output Punto 3","","SMU08448_20240616_014918.wav","0","0","6.876","","","2024-06-16","01:49:18","1","2024-06-15","13:49:18","13","NoID","13","0","0","0","","","13","28.171","29.74","4.981","34.822","27.798","30.145","274.4","29.126","3.314","137.87","4.572","3","1","EPTSER","","","","","1FSyGSBf+PRw068v+txk/g==","",""
"/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3","/Volumes/Elements/Output CP/Output Punto 3","","SMU08448_20240616_020025.wav","0","0","15","","","2024-06-16","02:00:25","2","2024-06-15","14:00:25","14","NoID","9","0","0","0","","","9","24.959","18.46","4.825","29.928","24.366","26.432","1119.17","25.435","2.98","134.2","4.045","2.17","1","EPTSER","","","","","IKCWJJuTx4F8y1AQpUv3eA==","",""
"/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3","/Volumes/Elements/Output CP/Output Punto 3","","SMU08448_20240616_020046.wav","0","0","15","","","2024-06-16","02:00:46","2","2024-06-15","14:00:46","14","NoID","10","0","0","0","","","10","27.047","30.89","5.119","31.927","26.212","28.385","1561.628","27.786","3.259","108.52","4.299","3.99","1","EPTSER","","","","","HviHgCaX4DvqWLiCWSYXGA==","",""
"/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3","/Volumes/Elements/Output CP/Output Punto 3","","SMU08448_20240616_020102.wav","0","0","15","","","2024-06-16","02:01:02","2","2024-06-15","14:01:02","14","NoID","5","0","0","0","","","5","26.337","63.51","3.815","31.729","25.819","28.182","3020.441","27.911","2.085","118.66","3.479","1.19","1","EPTSER","","","","","tBuCKIxfyTbxPSSqRdOu3g==","",""
"/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3","/Volumes/Elements/Output CP/Output Punto 3","","SMU08448_20240616_020158.wav","0","0","15","","","2024-06-16","02:01:58","2","2024-06-15","14:01:58","14","NoID","10","0","0","0","","","10","24.697","36.49","4.958","29.265","24.244","26.207","1613.565","25.757","2.932","98.32","4.465","2.37","1","EPTSER","","","","","0xciueohQDfi2RDi8lkQOg==","",""
"/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3","/Volumes/Elements/Output CP/Output Punto 3","","SMU08448_20240616_020214.wav","0","0","15","","","2024-06-16","02:02:14","2","2024-06-15","14:02:14","14","NoID","8","0","0","0","","","8","28.443","33.95","4.998","33.405","28.158","29.822","1287.678","29.734","2.479","176.96","4.502","1.35","1","EPTSER","","","","","1Srt1qyHejc8sb3xJqW65A==","",""
"/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3","/Volumes/Elements/Output CP/Output Punto 3","","SMU08448_20240616_020234.wav","0","0","15","","","2024-06-16","02:02:34","2","2024-06-15","14:02:34","14","NoID","5","0","0","0","","","5","24.772","35.9","4.586","28.861","24.14","26.034","1401.443","25.822","2.788","67.63","4.002","1.5","1","EPTSER","","","","","Ee1IH4DIFAYJVDgm0fFPXA==","",""
"/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3","/Volumes/Elements/Output CP/Output Punto 3","","SMU08448_20240616_020311.wav","0","0","15","","","2024-06-16","02:03:11","2","2024-06-15","14:03:11","14","NoID","2","0","0","0","","","2","27.238","7.87","3.474","27.667","24.397","25.827","153.823","27.281","0.151","-67.15","0.728","0.79","1","EPTSER","","","","","S86P3+0gB8K/v5SFWwit8A==","",""
"/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3","/Volumes/Elements/Output CP/Output Punto 3","","SMU08448_20240617_002119.wav","0","0","7.184","","","2024-06-17","00:21:19","0","2024-06-16","12:21:19","12","NoID","7","0","0","0","","","7","24.543","21.72","4.551","27.802","23.899","25.391","670.751","24.999","2.484","33.88","3.696","2.6","1","EPTSER","","","","","3szhqJ4tdr2oKviYlJT9PQ==","",""
"/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3","/Volumes/Elements/Output CP/Output Punto 3","","SMU08448_20240617_002132.wav","0","0","10.524","","","2024-06-17","00:21:32","0","2024-06-16","12:21:32","12","NoID","7","0","0","0","","","7","24.651","26.42","5.025","29.339","24.452","26.21","1229.873","25.263","3.563","74.6","4.703","1.77","1","EPTSER","","","","","I6fByF73iSysQzsEckVRYg==","",""
"/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3","/Volumes/Elements/Output CP/Output Punto 3","","SMU08448_20240617_002338.wav","0","0","15","","","2024-06-17","00:23:38","0","2024-06-16","12:23:38","12","NoID","4","0","0","0","","","4","24.233","7.17","4.376","26.918","23.785","24.903","4435.323","24.59","2.516","143.06","3.411","1.17","1","EPTSER","","","","","0L/utiRTGWSxGEEWvXygFQ==","",""
"/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3","/Volumes/Elements/Output CP/Output Punto 3","","SMU08448_20240617_002436.wav","0","0","9.812","","","2024-06-17","00:24:36","0","2024-06-16","12:24:36","12","NoID","9","0","0","0","","","9","24.093","25.09","3.143","26.319","23.877","24.783","813.447","24.403","2.023","32.26","2.832","2.42","1","EPTSER","","","","","DbDbYVEynRDa9lh6/SmCbw==","",""
"/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3","/Volumes/Elements/Output CP/Output Punto 3","","SMU08448_20240617_002421.wav","0","0","15","","","2024-06-17","00:24:21","0","2024-06-16","12:24:21","12","NoID","3","0","0","0","","","3","24.849","35.81","3.782","27.561","24.539","25.77","960.569","25.621","2.156","33.23","3.167","1.15","1","EPTSER","","","","","eIuSFrSw0K+uLjutOBxHtQ==","",""
"/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3","/Volumes/Elements/Output CP/Output Punto 3","","SMU08448_20240617_002353.wav","0","0","11.89","","","2024-06-17","00:23:53","0","2024-06-16","12:23:53","12","EPTSER","9","6","0.667","0.201023","VESMUR","NYCLEI","9","24.827","25.35","4.732","29.154","24.505","26.217","1089.397","25.71","2.918","99.5","4.383","2.44","1","EPTSER","","","","","U6hFC4HP16glx4Rsr8FcBw==","",""
"/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3","/Volumes/Elements/Output CP/Output Punto 3","","SMU08448_20240616_020117.wav","0","0","15","","","2024-06-16","02:01:17","2","2024-06-15","14:01:17","14","EPTSER","12","6","0.5","0.144749","NYCLEI","VESMUR","12","29.487","32.07","4.647","35.784","28.773","31.189","1216.36","30.218","2.854","204.59","3.826","3.3","1","EPTSER","","","","","/dff7lQQTzJzcjlKCSTYJA==","",""
"/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3","/Volumes/Elements/Output CP/Output Punto 3","","SMU08448_20240616_020009.wav","0","0","15","","","2024-06-16","02:00:09","2","2024-06-15","14:00:09","14","EPTSER","9","5","0.556","0.14826","VESMUR","NYCLEI","9","24.487","28.46","5.098","29.949","24.283","26.374","1054.658","25.323","3.43","61.89","4.829","2.09","1","EPTSER","","","","","RY3u13i0CuUAUPvwODNP+A==","",""
"/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3","/Volumes/Elements/Output CP/Output Punto 3","","SMU08448_20240616_020143.wav","0","0","15","","","2024-06-16","02:01:43","2","2024-06-15","14:01:43","14","EPTSER","8","4","0.5","0.204434","VESMUR","NYCLEI","8","25.466","22.2","3.966","29.777","25.124","26.823","1439.352","26.006","2.651","172.91","3.65","2.21","1","EPTSER","","","","","PhD6gcVmKhqd+56RES/uZQ==","",""
"/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3","/Volumes/Elements/Output CP/Output Punto 3","","SMU08448_20240615_004128.wav","0","0","6.304","","","2024-06-15","00:41:28","0","2024-06-14","12:41:28","12","EPTSER","6","3","0.5","0.186717","","","6","25.502","41.6","3.871","30.922","25.182","27.339","630.8","26.262","2.663","157.01","3.605","2.06","1","EPTSER","","","","","nq2rhluEkJ5dN7CIijQqqg==","",""
"/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3","/Volumes/Elements/Output CP/Output Punto 3","","SMU08448_20240613_230911.wav","0","0","15","","","2024-06-13","23:09:11","23","2024-06-13","11:09:11","11","EPTSER","2","2","1","0.6453","VESMUR","MYOMYO","2","27.004","62.08","4.456","35.108","26.071","29.61","427.159","28.627","2.617","173.17","3.93","0.63","1","EPTSER","","","","","kQ66NZ9yen2XNxMaby01Gw==","",""
"/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3","/Volumes/Elements/Output CP/Output Punto 3","","SMU08448_20240615_004134.wav","0","0","9.714","","","2024-06-15","00:41:34","0","2024-06-14","12:41:34","12","EPTSER","7","2","0.286","0.260363","VESMUR","","7","26.169","37.6","3.112","31.271","25.976","27.891","1025.347","26.939","2.114","209.81","2.975","2.07","1","EPTSER","","","","","O2ewYWY5smSWiCaZ0QSXpQ==","",""
"/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3","/Volumes/Elements/Output CP/Output Punto 3","","SMU08448_20240616_014426.wav","0","0","15","","","2024-06-16","01:44:26","1","2024-06-15","13:44:26","13","NoID","2","0","0","0","","","2","37.045","6.71","2.835","38.118","36.708","37.349","909.611","37.303","0.944","2.82","2.237","0.72","1","HYPSAV","","","","","pGfbHqBzPVqRZyn8FpBTIg==","",""
"/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3","/Volumes/Elements/Output CP/Output Punto 3","","SMU08448_20240617_023642.wav","0","0","11.004","","","2024-06-17","02:36:42","2","2024-06-16","14:36:42","14","NoID","12","0","0","0","","","12","31.404","5.72","4.37","32.092","30.983","31.527","508.981","31.618","1.888","-12.97","3.702","3.44","1","HYPSAV","","","","","MpPkhCjeUnnnDSBOJtTAEw==","",""
