"INDIR","OUTDIR","FOLDER","IN FILE","CHANNEL","OFFSET","DURATION","OUT FILE FS","OUT FILE ZC","DATE","TIME","HOUR","DATE-12","TIME-12","HOUR-12","AUTO ID","PULSES","MATCHING","MATCH RATIO","MARGIN","ALTERNATE 1","ALTERNATE 2","N","Fc","Sc","Dur","Fmax","Fmin","Fmean","TBC","Fk","Tk","S1","Tc","Qual","FILES","MANUAL ID*","ORGID","USERID","REVIEW ORGID","REVIEW USERID","INPATHMD5","OUTPATHMD5FS","OUTPATHMD5ZC"
"/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 2","/Volumes/Elements/Output CP/Output Punto 2","","SMU08424_20240613_212743.wav","0","0","15","","","2024-06-13","21:27:43","21","2024-06-13","09:27:43","9","HYPSAV","9","6","0.667","0.359462","PIPKUH","","9","31.65","5.23","7.622","32.207","31.226","31.704","60.426","31.74","3.334","-2.06","5.471","2.53","1","HYPSAV","","","","","fD0h6QI5/bfFTK8uetMcQw==","",""
"/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 2","/Volumes/Elements/Output CP/Output Punto 2","","SMU08424_20240613_214246.wav","0","0","15","","","2024-06-13","21:42:46","21","2024-06-13","09:42:46","9","HYPSAV","13","13","1","0.481478","BARBAR","EPTNIL","13","33.522","-8.01","3.869","34.793","32.4","33.417","285.249","33.481","1.473","94.04","2.383","4.38","1","HYPSAV","","","","","+TrXioXE4mum7KqGnM3WGw==","",""
"/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 2","/Volumes/Elements/Output CP/Output Punto 2","","SMU08424_20240613_220911.wav","0","0","8.509","","","2024-06-13","22:09:11","22","2024-06-13","10:09:11","10","HYPSAV","14","9","0.643","0.235371","","","14","31.494","-3.1","7.464","32.075","31.075","31.516","544.665","31.459","2.947","21.82","5.253","4.87","1","HYPSAV","","","","","LHXG/zS39LfRSnplqmJ5EQ==","",""
"/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 2","/Volumes/Elements/Output CP/Output Punto 2","","SMU08424_20240613_221740.wav","0","0","12.594","","","2024-06-13","22:17:40","22","2024-06-13","10:17:40","10","HYPSAV","8","4","0.5","0.171779","","","8","27.18","4.78","6.15","27.781","26.778","26.344","116.065","27.319","1.937","65.52","3.764","1.29","1","HYPSAV","","","","","UZmSTX9PeJH3QGo/9wqOJQ==","",""
"/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 2","/Volumes/Elements/Output CP/Output Punto 2","","SMU08424_20240613_222729.wav","0","0","15","","","2024-06-13","22:27:29","22","2024-06-13","10:27:29","10","HYPSAV","15","14","0.933","0.795501","EPTNIL","BARBAR","15","31.887","5.53","7.216","33.007","31.357","32.034","417.069","32.105","3.599","80.31","4.948","3.3","1","HYPSAV","","","","","jYbdVIpXrJMWzXZmAnq5QQ==","",""
"/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 2","/Volumes/Elements/Output CP/Output Punto 2","","SMU08424_20240613_230518.wav","0","0","15","","","2024-06-13","23:05:18","23","2024-06-13","11:05:18","11","HYPSAV","10","9","0.9","0.67582","BARBAR","EPTNIL","10","31.966","0.78","5.602","32.367","31.599","31.92","524.143","31.98","0.564","41.59","4.007","2.12","1","HYPSAV","","","","","UyZ5Kyh0VRNFlAy3VIgtwg==","",""
"/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 2","/Volumes/Elements/Output CP/Output Punto 2","","SMU08424_20240613_230720.wav","0","0","15","","","2024-06-13","23:07:20","23","2024-06-13","11:07:20","11","HYPSAV","6","6","1","0.924829","EPTNIL","BARBAR","6","32.007","2.75","5.506","32.511","31.563","32.022","1337.851","32.112","2.255","40.92","4.672","1.22","1","HYPSAV","","","","","/zpDtJjMt6VOsaWtZguTJA==","",""
"/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 2","/Volumes/Elements/Output CP/Output Punto 2","","SMU08424_20240613_231527.wav","0","0","15","","","2024-06-13","23:15:27","23","2024-06-13","11:15:27","11","HYPSAV","9","9","1","0.578118","BARBAR","EPTNIL","9","33.295","-21.26","5.227","34.516","32.454","33.303","442.918","33.248","2.889","99.2","4.429","3.41","1","HYPSAV","","","","","69+nj5N0OqkirHNw5Zt8zA==","",""
"/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 2","/Volumes/Elements/Output CP/Output Punto 2","","SMU08424_20240614_004921.wav","0","0","15","","","2024-06-14","00:49:21","0","2024-06-13","12:49:21","12","HYPSAV","20","18","0.9","0.724978","EPTNIL","BARBAR","20","31.828","0.06","6.14","32.417","31.482","31.888","334.388","31.95","1.739","64.74","4.428","2.68","1","HYPSAV","","","","","ew9KV6wMkgyTF5w/l4Y9fg==","",""
"/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 2","/Volumes/Elements/Output CP/Output Punto 2","","SMU08424_20240614_004936.wav","0","0","15","","","2024-06-14","00:49:36","0","2024-06-13","12:49:36","12","HYPSAV","4","4","1","0.945313","EPTNIL","BARBAR","4","31.719","5.52","2.777","32.006","31.283","31.699","396.022","31.686","0.724","64.48","2.147","0.85","1","HYPSAV","","","","","WzgikaiOfm8Gk+GvJyrh1A==","",""
