"INDIR","OUTDIR","FOLDER","IN FILE","CHANNEL","OFFSET","DURATION","OUT FILE FS","OUT FILE ZC","DATE","TIME","HOUR","DATE-12","TIME-12","HOUR-12","AUTO ID","PULSES","MATCHING","MATCH RATIO","MARGIN","ALTERNATE 1","ALTERNATE 2","N","Fc","Sc","Dur","Fmax","Fmin","Fmean","TBC","Fk","Tk","S1","Tc","Qual","FILES","MANUAL ID*","ORGID","USERID","REVIEW ORGID","REVIEW USERID","INPATHMD5","OUTPATHMD5FS","OUTPATHMD5ZC"
"/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 4","/Volumes/Elements/Output Punto 4","","SMU08425_20240615_222757.wav","0","0","15","","","2024-06-15","22:27:57","22","2024-06-15","10:27:57","10","EPTSER","11","4","0.364","0.214171","EPTNIL","","11","31.882","40.93","3.219","41.216","30.922","34.386","686.053","32.89","2.042","315.46","2.836","5.55","1","EPTSER","","","","","CQueEvxGzb+3j4Gx+44bqA==","",""
"/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 4","/Volumes/Elements/Output Punto 4","","SMU08425_20240616_215628.wav","0","0","15","","","2024-06-16","21:56:28","21","2024-06-16","09:56:28","9","EPTSER","11","1","0.091","0.113811","EPTNIL","","11","31.926","35.68","3.227","39.742","31.173","33.916","1154.411","32.962","1.686","305.26","2.715","5.22","1","EPTSER","","","","","u1Xd/XrlUPc3hqg8qFeU7w==","",""
"/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 4","/Volumes/Elements/Output Punto 4","","SMU08425_20240613_214456.wav","0","0","15","","","2024-06-13","21:44:56","21","2024-06-13","09:44:56","9","NoID","4","0","0","0","","","4","38.977","-11.86","2.784","46.02","38.319","40.542","1129.375","38.905","1.736","269.74","2.224","1.46","1","HYPSAV","","","","","J9GkP9ISbhn6dKDpmae4RA==","",""
"/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 4","/Volumes/Elements/Output Punto 4","","SMU08425_20240613_220248.wav","0","0","7.969","","","2024-06-13","22:02:48","22","2024-06-13","10:02:48","10","NoID","2","0","0","0","","","2","32.261","-0.14","4.036","32.589","31.814","32.199","4511.704","32.263","0.185","-118.7","2.172","0.6","1","HYPSAV","","","","","qJ6hMUCGZ+u6GGVvPmgKCg==","",""
"/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 4","/Volumes/Elements/Output Punto 4","","SMU08425_20240614_013853.wav","0","0","15","","","2024-06-14","01:38:53","1","2024-06-13","13:38:53","13","NoID","7","0","0","0","","","7","29.9","0.73","5.91","30.638","29.631","29.962","490.433","30.014","2.611","96.16","5.206","1.64","1","HYPSAV","","","","","gV6aL13pz5AXVCDNf2W35A==","",""
"/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 4","/Volumes/Elements/Output Punto 4","","SMU08425_20240614_020631.wav","0","0","15","","","2024-06-14","02:06:31","2","2024-06-13","14:06:31","14","NoID","8","0","0","0","","","8","39.838","26.61","3.211","56.819","39.21","43.472","1197.094","40.42","1.575","628.98","2.668","3.32","1","HYPSAV","","","","","CAlKxmZOtj1JIzrBlVVIgQ==","",""
"/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 4","/Volumes/Elements/Output Punto 4","","SMU08425_20240615_213930.wav","0","0","15","","","2024-06-15","21:39:30","21","2024-06-15","09:39:30","9","NoID","4","0","0","0","","","4","35.325","14.9","3.373","38.658","35.224","36.32","4281.332","36.224","1.773","203.84","3.159","1.09","1","HYPSAV","","","","","4LYJGg+Bmf5DRVSv/BGvEg==","",""
"/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 4","/Volumes/Elements/Output Punto 4","","SMU08425_20240615_214046.wav","0","0","15","","","2024-06-15","21:40:46","21","2024-06-15","09:40:46","9","NoID","2","0","0","0","","","2","32.859","-19.63","3.164","34.14","32.327","32.916","2022.203","32.588","2.12","280.83","2.73","0.68","1","HYPSAV","","","","","V5hVRPpvxorxVSEuYOAERw==","",""
"/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 4","/Volumes/Elements/Output Punto 4","","SMU08425_20240615_214233.wav","0","0","15","","","2024-06-15","21:42:33","21","2024-06-15","09:42:33","9","NoID","2","0","0","0","","","2","34.343","1.49","2.581","36.555","33.627","34.852","5599.127","34.418","1.472","107.99","2.345","0.7","1","HYPSAV","","","","","FT1qJA8V4T6odrER5lXHmA==","",""
"/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 4","/Volumes/Elements/Output Punto 4","","SMU08425_20240615_214732.wav","0","0","15","","","2024-06-15","21:47:32","21","2024-06-15","09:47:32","9","NoID","3","0","0","0","","","3","32.774","16","4.648","35.205","32.596","33.448","2911.444","33.402","2.291","90.95","4.248","0.84","1","HYPSAV","","","","","aziBz9BadvIex+OrvwKi+A==","",""
